Name,Description,Digikey Link,Digikey Part #,Quantity
18087,DUAL BAND ANTENNA - U.FL (2.4GHZ,https://www.digikey.com/en/products/detail/sparkfun-electronics/18087/14313955,1568-18087-ND,1
ANT-2.4-FPC-LH100M4,ANT 2.4 FPC 45X7 100 CBL MHF4,https://www.digikey.com/en/products/detail/te-connectivity-linx/ANT-2-4-FPC-LH100M4/16570601,343-ANT-2.4-FPC-LH100M4-ND,1
CONMHF4-SMD-G-T,CONN MHF4 JACK STR SMD,https://www.digikey.com/en/products/detail/te-connectivity-linx/CONMHF4-SMD-G-T/15293390,343-CONMHF4-SMD-G-TCT-ND,1
BK-18650-PC6,Battery Holder _Open_ 18650 3 Cell PC Pin,https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BK-18650-PC6/2330514?msockid=0c917f7f616a694d30ac6b5360ee6816,BK-18650-PC6-ND,2
TLN6158M010R0055,"Tantalum Capacitor, Polarized, Tantalum (dry/solid), 10V, 20% +Tol, 20% -Tol, 1500uF, Surface Mount, 5831",https://www.digikey.com/en/products/detail/kyocera-avx/TLN6158M010R0055/2077257?s=N4IgTCBcDaICoBkByA2AjAVgBwFkAMaeASnnhhiALoC%2BQA,478-5634-1-ND,2
565-1700-ND,CAP ALUM 1500UF 20% 35V RADIAL,https://www.digikey.com/en/products/detail/chemi-con/EKZE350ELL152MK35S/756216,565-1700-ND,2
NORMAL CERAMIC SMD CAPACITORS,0805 Packages,,,
GRM0335C1H1R3WA01D,"1.3 pF ±0.05pF 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)",https://www.digikey.com/en/products/detail/murata-electronics/GRM0335C1H1R3WA01D/11618861,490-GRM0335C1H1R3WA01DCT-ND,at least 2 but I would argue that ordering 10 is not that much more expensive and might give me more luck in getting a closer capactor value with the error
MATCHING NETWORK CAPACITORS,"0201 Packages, C0G or NP0 for RF signal fidelity",,,
GJM1555C1H110FB01D,"11 pF ±1% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",https://www.digikey.com/en/products/detail/murata-electronics/GJM1555C1H110FB01D/13401920,490-GJM1555C1H110FB01DCT-ND,2
GJM1555C1H330FB01D,"33 pF ±1% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)",https://www.digikey.com/en/products/detail/murata-electronics/GJM1555C1H330FB01D/7363121,490-16377-1-ND,2
B32022A3333M000,"Film Capacitor, Polypropylene, 1500V, 20% +Tol, 20% -Tol, 0.033uF, Through Hole Mount",https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B32022A3333M000/1648112?s=N4IgTCBcDaIEIGYwAYxgIIKwgss-IAugL5A,495-3795-ND,1
6PSS50,0.05 µF Film Capacitor 200V 600V Polyester Radial,https://www.digikey.com/en/products/detail/cornell-dubilier-knowles/6PSS50/6142250,6PSS50-ND,1
16SVPF270M,Conductive Polymer Aluminum Solid Capacitors (OS-CON) 270uF ±20% 16V RADIAL SMT 8x6.9mm,https://www.digikey.com/en/products/detail/panasonic-electronic-components/16SVPF270M/4204812?s=N4IgTCBcDaIIwDYDKA1ACgMTAdgAwFkQBdAXyA,P16480CT-ND,1
TDK EPCOS Film Capacitor,"Film Capacitor, Polypropylene, 630V, 20% +Tol, 20% -Tol, 0.47uF, Through Hole Mount",https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B32922C3474M000/778984?s=N4IgTCBcDaIEIGYwE4xgMIICwHYsFkAGYkAXQF8g,495-2322-ND,2
STPS2L25U,"Low Drop Power Schottky Rectifier, 2 A, 25 V, 2-Pin SMD (SMB), RoHS, Tape and Reel",https://www.digikey.com/en/products/detail/stmicroelectronics/STPS2L25U/1039649?msockid=0c917f7f616a694d30ac6b5360ee6816,497-5573-1-ND,3
BAT54HT1G,"Schottky Barrier Diode, 2-Pin SOD-323, Pb-Free, Tape and Reel",https://www.digikey.com/en/products/detail/onsemi/BAT54HT1G/918315?msockid=0c917f7f616a694d30ac6b5360ee6816,BAT54HT1GOSCT-ND,2
31.8225,Fuse holder but wiht a cap smd model,https://www.digikey.com/en/products/detail/schurter-inc/0031-8225/4430797,486-1723-1-ND,1
061702.5MXP,5x20mm 2.5 amp fuse,https://www.digikey.com/en/products/detail/littelfuse-inc/061702-5MXP/5233765,061702.5MXP-ND,10 just in case
BLM18HE152SN1D,"Chip Ferrite Bead, 0603, 1500Ω @ 100MHz, 0.5Ω, 25%, 500mA",https://www.digikey.com/en/products/detail/murata-electronics/BLM18HE152SN1D/1948321?msockid=0c917f7f616a694d30ac6b5360ee6816,490-5216-1-ND,1
BLM18PG600SN1D,"Chip Ferrite Bead, 0603, 60Ω @ 100MHz, 0.1Ω, , 1A",https://www.digikey.com/en/products/detail/murata-electronics/BLM18PG600SN1D/584247?msockid=0c917f7f616a694d30ac6b5360ee6816,490-1036-1-ND,1
